"id","name","bikes_count","terminal_id"
631,"Goldsmith's Row, Haggerston",17,200159
632,"Macclesfield Rd, St Lukes",17,1226
633,"Stratford Station, Stratford",17,300234
634,"Finsbury Library , Finsbury",17,986
635,"Notting Hill Gate Station, Notting Hill",17,1182
636,"St. John's Park, Cubitt Town",17,200243
637,"Clarkson Street, Bethnal Green",17,200131
638,"Brook Green South, Brook Green",17,300002
639,"Little Brook Green, Brook Green",17,300101
640,"Furze Green, Bow",17,200011
641,"Stephendale Road, Sands End",17,300053
642,"Soho Square , Soho",17,1052
643,"Great Titchfield Street, Fitzrovia",18,3450
644,"Vauxhall Street, Vauxhall",18,1224
645,"Grove End Road, St. John's Wood",18,1130
646,"High Holborn , Covent Garden",18,1229
647,"Little Argyll Street, West End",18,995
648,"Hinde Street, Marylebone",18,3476
649,"Prince of Wales Drive, Battersea Park",18,300073
650,"Hoxton Station, Hoxton",18,200151
651,"Hammersmith Road, Hammersmith",18,200142
652,"Charlotte Terrace, Angel",18,200129
653,"Farringdon Street, Holborn",18,300220
654,"Falkirk Street, Hoxton",18,1047
655,"Drury Lane, Covent Garden",18,1007
656,"East Road, Hoxton",18,1054
657,"Tooley Street, Bermondsey",18,1142
658,"Merchant Street, Bow",18,200242
659,"Culvert Road, Battersea",18,300080
660,"Westminster Pier, Westminster",18,300249
661,"Queen's Circus, Battersea Park",18,200190
662,"Hortensia Road, West Brompton",18,300091
663,"Bunhill Row, Moorgate",18,1211
664,"Holland Park, Kensington",18,10631
665,"Pitfield Street Central, Hoxton",18,200248
666,"Osiers Road, Wandsworth",18,200219
667,"Endsleigh Gardens, Euston",18,1079
668,"Blackfriars Station, St. Paul's",18,200212
669,"Teversham Lane, Stockwell",18,300036
670,"Westfield Ariel Way, White City",18,200141
671,"St. Mark's Road, North Kensington",19,300034
672,"Sancroft Street, Vauxhall",19,3434
673,"Great Tower Street, Monument",19,1080
674,"Russell Gardens, Olympia",19,200080
675,"Chicheley Street, South Bank",19,200206
676,"Upper Richmond Road, Putney",19,300042
677,"Ram Street, Wandsworth",19,200079
678,"Boston Place, Marylebone",19,1035
679,"Sirdar Road, Avondale",19,300084
680,"Birkenhead Street, King's Cross",19,300212
681,"Good's Way, King's Cross",19,300243
682,"Coomer Place, West Kensington",19,300006
683,"Jubilee Street, Stepney",19,200002
684,"Pitfield Street North,Hoxton",19,200152
685,"Green Park Station, Mayfair",19,200096
686,"Falcon Road, Clapham Junction",19,300014
687,"Houndsditch, Aldgate",19,200072
688,"Hardwick Street, Clerkenwell",19,1057
689,"Sea Containers, South Bank",19,200144
690,"Hollybush Gardens, Bethnal Green",19,200244
691,"Malet Street, Bloomsbury",19,980
692,"Northdown Street, King's Cross",20,200058
693,"New North Road 2, Hoxton",20,2641
694,"Killick Street, King's Cross",20,200053
695,"Archbishop's Park, Waterloo",20,300025
696,"Sun Street, Liverpool Street",20,1129
697,"Regent's Row , Haggerston",20,200064
698,"Grenfell Road, Avondale",20,300067
699,"Sedding Street, Sloane Square",20,3420
700,"Antill Road, Mile End",20,200041
701,"Esmond Street, Putney",20,200170
702,"Finsbury Circus, Liverpool Street",20,984
703,"New Kent Road, The Borough",20,966
704,"Greenland Road, Camden Town",20,200026
705,"Bonny Street, Camden Town",20,200105
706,"Lansdowne Walk, Ladbroke Grove",21,200065
707,"St. Chad's Street, King's Cross",21,1013
708,"Ilchester Place, Kensington",21,1115
709,"Walmer Road, Avondale",21,200035
710,"Woodstock Grove, Shepherd's Bush",21,200214
711,"Wenlock Road , Hoxton",21,979
712,"Bricklayers Arms, Borough",21,1070
713,"Morie Street, Wandsworth",21,200187
714,"Ingrave Street, Clapham Junction",21,300077
715,"Everington Street, Fulham",21,300028
716,"Binfield Road, Stockwell",21,300015
717,"Fanshaw Street, Hoxton",21,3427
718,"Maida Vale, Maida Vale",21,3423
719,"Holborn Circus, Holborn",21,982
720,"Jubilee Plaza, Canary Wharf",21,200163
721,"Queen Street 1, Bank",22,999
722,"Emperor's Gate, South Kensington",22,1116
723,"Calshot Street , King's Cross",22,1066
724,"Tower Gardens , Tower",22,1071
725,"Lower Thames Street, Monument",22,1098
726,"Erin Close, Walham Green",22,200184
727,"George Street, Marylebone",22,1225
728,"Addison Road, Holland Park",22,200218
729,"Harrington Square 1, Camden Town",22,1038
730,"Vauxhall Walk, Vauxhall",22,200056
731,"Queensdale Road, Shepherd's Bush",22,300088
732,"Bramham Gardens, Earl's Court",22,1183
733,"Castlehaven Road, Camden Town",22,200016
734,"Upcerne Road, West Chelsea",22,300075
735,"Flood Street, Chelsea",22,1218
736,"Wandsworth Town Station, Wandsworth",22,200091
737,"Wellington Arch, Hyde Park",22,1109
738,"London Zoo Car Park, The Regent's Park",22,1188
739,"Cleveland Way, Stepney",22,200250
740,"Devons Road, Bow",22,200255
741,"Bishop's Avenue, Fulham",22,200043
742,"Abbotsbury Road, Holland Park",23,200111
743,"Grant Road East, Clapham Junction",23,200120
744,"St. John's Wood Road, St. John's Wood",23,1187
745,"Phillimore Gardens, Kensington",23,1018
746,"Palace Gardens Terrace, Notting Hill",23,2633
747,"Natural History Museum, South Kensington",23,2677
748,"Moorfields, Moorgate",23,1092
749,"Waterloo Station 2, Waterloo",23,2692
750,"Bethnal Green Garden, Bethnal Green",24,200047
751,"Clarendon Road, Avondale",24,200124
752,"Taviton Street, Bloomsbury",24,1009
753,"Peterborough Road, Sands End",24,200171
754,"Maplin Street, Mile End",24,200230
755,"Bow Road Station, Bow",24,200251
756,"Caldwell Street, Stockwell",24,200137
757,"East India DLR, Blackwall",24,200127
758,"Warren Street Station, Euston",25,1090
759,"Fulham Broadway, Walham Green",25,300086
760,"South Park, Sands End",25,200180
761,"Burdett Road, Mile End",25,200123
762,"Albert Gardens, Stepney",25,22166
763,"Queensbridge Road, Haggerston",25,200024
764,"Warwick Road, Olympia",25,1134
765,"City Road, Angel",25,2690
766,"Battersea Park Road, Nine Elms",26,200183
767,"Lansdowne Road, Ladbroke Grove",26,200172
768,"LSBU (Borough Road), Elephant & Castle",26,1095
769,"Leonard Circus , Shoreditch",26,1020
770,"Cheapside, Bank",26,22180
771,"Lee Valley VeloPark, Queen Elizabeth Olympic Park",26,300029
772,"Pennington Street, Wapping",26,200090
773,"Mile End Park Leisure Centre, Mile End",26,300027
774,"Royal College Street, Camden Town",26,2686
775,"Hoxton Street, Hoxton",27,200071
776,"Allington Street, Victoria",27,300242
777,"Old Street Station, St. Luke's",27,1064
778,"Parkway, Camden Town",27,200118
779,"Eastbourne Mews, Paddington",27,1203
780,"Fisherman's Walk West, Canary Wharf",27,22165
781,"Parsons Green Station, Parsons Green",27,300052
782,"Evesham Street, Avondale",28,300022
783,"Colet Gardens, Hammersmith",28,200224
784,"Lancaster Gate , Bayswater",28,200017
785,"Knightsbridge, Hyde Park",28,1101
786,"Seymour Place, Marylebone",29,200198
787,"Berry Street, Clerkenwell",29,1159
788,"Dunston Road , Haggerston",29,300024
789,"Barons Court Station, West Kensington",31,200197
790,"Ranelagh Gardens, Fulham",31,300064
791,"Buxton Street 1, Shoreditch",31,1223
792,"Frampton Street, Paddington",32,1099
793,"Clinton Road, Mile End",32,200161
794,"Irene Road, Parsons Green",32,300012
795,"Aquatic Centre, Queen Elizabeth Olympic Park",32,300233
796,"St. John's Road, Clapham Junction",33,200185
797,"Strand, Strand",33,1100
798,"Import Dock, Canary Wharf",33,200066
